statename,ccode,leader,begyr,begmo,begday,leaderpos,affiliation,solschange,solsminchinit,solsminchdur,interim,archigosobsid,version
Spain,230,Lerroux y Garcia,1933,9,12,PM,PRR/AR/ISR/PRS/ER/ORGA,1,0,0,0,SPN-1933-1,5
Spain,230,Martinez Barrio,1933,10,9,PM,PRR/AR/IRS/PRS/ER/PRP,0,0,0,1,SPN-1933-2,5
Spain,230,Lerroux y Garcia,1933,12,16,PM,PRR/PLD/PRP/Ag,0,1,0,0,SPN-1933-3,5
Spain,230,Samper Ibanez,1934,4,28,PM,PRR/PLD/PRP/Ag,0,0,0,0,SPN-1934-1,5
Spain,230,Lerroux y Garcia,1934,10,10,PM,"PRR/PLD/CEDA/Ag, PRR/PLD, PRR/PLD/CEDA/Ag",0,1,0,0,SPN-1934-2,5
Spain,230,Chapaprieta,1935,10,25,PM,Non-Party/PRR/CEDA/Lliga/Ag,1,0,0,0,SPN-1935-1,5
Spain,230,Portela,1935,12,31,PM,Non-Party/PRR/PLD/Rad.Dis.,0,0,0,1,SPN-1935-2,5
Spain,230,Azana y Diaz,1936,2,19,PM,IR/UR,1,0,0,0,SPN-1936-1,5
Spain,230,Casares Quiroga,1936,5,13,PM,IR/UR/ER,0,1,0,0,SPN-1936-2,5
Spain,230,Martinez Barrio,1936,7,19,PM,UR/IR/ER,1,0,0,0,SPN-1936-3,5
Spain,230,Giral y Pereira,1936,7,19,PM,IR/UR/ER,1,0,0,0,SPN-1936-4,5
Spain,230,Largo Caballero,1936,9,4,PM,"PSOE/IR/UR/PC/ER/PNV, PSOE/IR/UR/PC/ER/CNT/CNT-FAT",1,0,1,0,SPN-1936-5,5
Spain,230,Negrin,1937,5,18,PM,"PSOE/IR/UR/PC/ER/PNV, PSOE/IR/PC/ER/CNT",0,1,1,0,SPN-1937,5
Spain,230,Miaja,1939,3,5,President of the National Council of Defense,Mil,1,0,0,0,SPN-1939-1,5
Spain,230,Franco,1939,4,1,El Caudillo,Mil/FET,1,0,0,0,SPN-1939-2,5
Spain,230,Juan Carlos,1975,11,1,Head of State,Non-Party,0,0,0,0,SPN-1975-1,5
Spain,230,Arias Navarro,1975,11,9,PM,FET,0,0,0,0,SPN-1975-2,5
Spain,230,Suarez Gonzalez,1976,7,1,PM,UCD,1,0,0,0,SPN-1976,5
Spain,230,Calvo-Sotelo,1981,2,25,PM,UCD,0,0,0,0,SPN-1981,5
Spain,230,Gonzalez Marquez,1982,12,2,PM,PSOE,1,0,0,0,SPN-1982,5
Spain,230,Aznar,1996,5,5,PM,PP,1,0,0,0,SPN-1996,5
Spain,230,Jose Luis Rodriguez Zapatero,2004,4,17,PM,PSOE,1,0,0,0,SPN-2004,5
Spain,230,Mariano Rajoy Brey,2011,12,20,PM,PP,1,0,0,0,SPN-2011,5
Spain,230,Pedro Sanchez Perez-Castejon,2018,6,2,PM,PSOE/PSC-PSOE,1,0,0,0,,5
Portugal,235,Joao Canto e Castro,,,,President,Mil,,,0,0,POR-1918,5
Portugal,235,Almeida,1919,10,5,President,PRE,1,0,0,0,POR-1919,5
Portugal,235,Gomes,1923,8,6,President,PD,1,0,0,0,POR-1923,5
Portugal,235,Machado Guimaraes,1925,12,16,President,PD,0,0,0,0,POR-1925,5
Portugal,235,Carmona,1926,5,28,President,"Mil, UN",1,0,0,0,POR-1926,5
Portugal,235,Salazar,1932,7,5,PM,UN,0,0,0,0,POR-1932,5
Portugal,235,Caetano,1968,9,27,PM,UN,0,0,0,0,POR-1968,5
Portugal,235,Spinola,1974,4,25,President,Mil/MFA,1,0,0,0,POR-1974-1,5
Portugal,235,Costa Gomes,1974,9,30,President,Mil/MFA,0,0,0,0,POR-1974-2,5
Portugal,235,Eanes,1976,7,23,President,PRD,1,0,0,0,POR-1976,5
Portugal,235,Soares,1986,3,9,President,PS,1,0,0,0,POR-1986,5
Portugal,235,Sampaio,1996,3,9,President,PS,0,0,0,0,POR-1996,5
Portugal,235,Anibal Antonio Cavaco Silva,2006,3,9,President,PSD,1,0,0,0,POR-2006,5
Portugal,235,Marcelo Nuno Duarte Rebelo de Sousa,2016,3,9,President,PSD,0,0,0,0,,5
Germany,255,Ebert,,,,Chancellor,SPD/DDP/Z,,,0,0,GMY-1918,5
Germany,255,Scheidemann,1919,2,12,Chancellor,SPD/DDP/Z,0,0,0,0,GMY-1919-1,5
Germany,255,Bauer,1919,6,21,Chancellor,SPD/DDP/Z,0,0,0,0,GMY-1919-2,5
Germany,255,Muller,1920,3,27,Chancellor,SPD/DDP/Z,0,0,0,0,GMY-1920-1,5
Germany,255,Fehrenbach,1920,6,25,Chancellor,Z/DVP/DDP,1,0,0,0,GMY-1920-2,5
Germany,255,Wirth,1921,5,10,Chancellor,Z/DDP/SPD,0,1,0,0,GMY-1921,5
Germany,255,Cuno,1922,11,22,Chancellor,Non-Party/Z/DDP/DVP,1,0,0,0,GMY-1922,5
Germany,255,Stresemann,1923,8,13,Chancellor,"DVP/SPD/Z/DDP, DVP/Z/DDP",1,0,1,0,GMY-1923-1,5
Germany,255,Marx,1923,11,30,Chancellor,"Z/DVP/DDP/BVP, Z/DVP/DDP",1,0,1,0,GMY-1923-2,5
Germany,255,Luther,1925,1,15,Chancellor,"Non-Party/Z/DDP/DVP/BVP/DNVP, Non-Party/Z/DDP/DVP/BVP",1,0,1,0,GMY-1925,5
Germany,255,Marx,1926,5,16,Chancellor,"Z/DVP/DDP/BVP, Z/DDP/DVP/BVP, Z/DVP/BVP/DNVP",1,0,1,0,GMY-1926,5
Germany,255,Muller,1928,6,28,Chancellor,SPD/Z/DVP/BVP/DDP,1,0,0,0,GMY-1928,5
Germany,255,Bruning,1930,3,30,Chancellor,"Z/DDP/DVP/BVP/WP/KVP, Z/DDP/DVP/BVP/KVP, Z/DDP/DVP/BVP/KVP/DNVP, Z/DSTP/BVP/KVP/LV",1,0,2,0,GMY-1930,5
